x	y
201.23	200.0
202.45999	200.0
203.68999	200.0
204.91998	200.0
206.14998	200.0
207.37997	200.0
208.60997	200.0
209.83997	200.0
211.06996	200.0
212.29996	200.0
213.52995	200.0
214.75995	200.0
215.98994	200.0
217.21994	200.0
218.44994	200.0
219.67993	200.0
220.90993	200.0
222.13992	200.0
223.36992	200.0
224.59991	200.0
225.82991	200.0
227.0599	200.0
228.2899	200.0
229.5199	200.0
230.7499	200.0
231.97989	200.0
233.20988	200.0
234.43988	200.0
235.66988	200.0
236.89987	200.0
238.12987	200.0
239.35986	200.0
240.58986	200.0
241.81985	200.0
243.04985	200.0
244.27985	200.0
245.50984	200.0
246.73984	200.0
247.96983	200.0
249.19983	200.0
250.42982	200.0
251.65982	200.0
252.88982	200.0
254.11981	200.0
255.34981	200.0
256.5798	200.0
257.8098	200.0
259.03983	200.0
260.26984	200.0
261.49985	200.0
262.72986	200.0
263.95987	200.0
265.18988	200.0
266.4199	200.0
